ECG,EMG,foot GSR,hand GSR,HR,RESP
0.026,0.0,1.218,4.997,94.0,10.998
0.03,-0.0061,1.218,4.995,94.0,10.998
-0.335,0.0063,1.218,4.994,94.0,11.0
0.07,-0.0014,1.218,4.994,94.0,11.01
0.092,0.001,1.218,4.994,94.0,11.004
0.021,-0.0078,1.218,4.994,94.0,10.99
0.042,-0.018,1.218,4.994,83.0,10.982
0.05,-0.0074,1.217,4.993,83.0,10.982
0.04,0.001,1.218,4.994,83.0,10.986
0.028,0.0021,1.217,4.992,83.0,10.988
0.028,0.0021,1.217,4.992,83.0,10.99
0.019,0.0044,1.218,4.992,83.0,10.992
-0.39,-0.0029,1.218,4.992,83.0,10.998
0.063,-0.0133,1.217,4.992,83.0,11.004
0.069,-0.0114,1.218,4.992,83.0,11.02
0.052,0.0025,1.217,4.992,83.0,11.034
-0.006,-0.0099,1.216,4.992,83.0,11.054
0.0,-0.0078,1.216,4.992,79.0,11.078
-0.015,-0.0092,1.216,4.99,79.0,11.104
-0.021,-0.0072,1.216,4.992,79.0,11.14
-0.02,-0.0025,1.216,4.99,79.0,11.17
-0.027,0.0015,1.216,4.989,79.0,11.206
-0.036,0.0029,1.216,4.989,79.0,11.236
-0.035,-0.002,1.216,4.989,79.0,11.276
-0.429,0.0059,1.216,4.989,79.0,11.318
-0.007,-0.0078,1.216,4.989,79.0,11.362
0.017,-0.0066,1.216,4.989,79.0,11.402
0.022,-0.0012,1.216,4.989,79.0,11.438
-0.041,-0.0055,1.216,4.989,79.0,11.462
-0.021,-0.0221,1.216,4.989,75.0,11.542
-0.014,-0.0152,1.216,4.989,75.0,11.564
-0.021,-0.0137,1.216,4.989,75.0,11.584
-0.024,-0.0135,1.216,4.989,75.0,11.6
-0.022,0.0033,1.216,4.988,75.0,11.61
-0.022,0.0038,1.216,4.989,75.0,11.618
-0.023,0.002,1.216,4.988,75.0,11.612
-0.034,0.0007,1.214,4.987,75.0,11.606
-0.108,0.0069,1.216,4.987,75.0,11.59
-0.328,-0.0091,1.216,4.988,75.0,11.574
0.027,-0.0033,1.216,4.988,75.0,11.554
0.028,0.0035,1.216,4.987,75.0,11.538
-0.02,0.0065,1.214,4.987,75.0,11.49
-0.019,-0.0159,1.216,4.987,69.0,11.476
-0.01,-0.0121,1.216,4.987,69.0,11.49
-0.008,-0.0056,1.216,4.987,69.0,11.476
-0.022,-0.0051,1.214,4.987,69.0,11.424
-0.025,-0.0086,1.214,4.987,69.0,11.4
-0.026,0.0008,1.214,4.987,69.0,11.378
-0.034,-0.0026,1.216,4.987,69.0,11.356
-0.035,-0.0105,1.216,4.987,69.0,11.334
-0.406,0.0027,1.213,4.987,69.0,11.312
0.035,-0.0012,1.213,4.987,69.0,11.29
0.035,-0.0012,1.213,4.987,69.0,11.274
0.031,-0.0049,1.214,4.987,69.0,11.254
-0.003,-0.0193,1.213,4.987,73.0,11.234
0.007,-0.0176,1.213,4.987,73.0,11.212
0.002,-0.0001,1.214,4.987,73.0,11.192
0.001,0.0023,1.216,4.987,73.0,11.176
0.004,-0.0058,1.213,4.987,73.0,11.162
0.004,-0.0025,1.213,4.987,73.0,11.152
-0.005,-0.0012,1.213,4.987,73.0,11.14
-0.042,0.0093,1.213,4.987,73.0,11.124
-0.316,-0.0135,1.213,4.987,73.0,11.11
0.056,-0.0167,1.213,4.987,73.0,11.082
0.053,-0.0084,1.213,4.987,73.0,11.078
0.003,0.0034,1.213,4.987,73.0,11.078
0.011,-0.0149,1.213,4.984,75.0,11.062
0.033,-0.0155,1.213,4.987,75.0,11.042
0.031,-0.0092,1.213,4.987,75.0,11.034
0.033,0.0052,1.213,4.987,75.0,11.032
0.032,0.0064,1.213,4.985,75.0,11.026
0.029,0.0001,1.213,4.987,75.0,11.022
0.014,-0.0108,1.213,4.984,75.0,11.02
0.04,-0.0037,1.213,4.984,75.0,11.018
-0.368,-0.0045,1.213,4.984,75.0,11.014
0.075,-0.006,1.213,4.984,75.0,11.02
0.073,-0.0051,1.213,4.984,75.0,11.022
0.041,0.0048,1.213,4.984,75.0,11.024
0.002,-0.0109,1.213,4.984,75.0,11.026
0.03,-0.0086,1.213,4.983,75.0,11.024
0.03,-0.0045,1.213,4.984,75.0,11.022
0.025,0.0011,1.213,4.983,75.0,11.022
0.031,-0.0114,1.213,4.984,75.0,11.022
0.037,-0.0154,1.213,4.984,75.0,11.022
0.027,-0.011,1.213,4.984,75.0,11.022
0.06,-0.0023,1.213,4.984,75.0,11.032
-0.356,0.0016,1.213,4.984,75.0,11.022
0.094,-0.0023,1.211,4.982,75.0,11.01
0.09,-0.0023,1.213,4.982,75.0,10.998
0.055,-0.001,1.213,4.984,75.0,10.996
0.023,-0.0122,1.213,4.982,75.0,11.0
0.039,-0.0133,1.213,4.982,75.0,11.0
0.026,-0.0126,1.213,4.982,75.0,11.002
0.023,-0.0098,1.213,4.982,75.0,11.0
0.017,0.0015,1.213,4.982,75.0,11.0
0.013,-0.0005,1.213,4.982,75.0,11.002
-0.295,0.0022,1.213,4.982,75.0,11.002
0.029,-0.0037,1.213,4.982,78.0,11.002
0.07,-0.0067,1.212,4.982,78.0,11.002
0.049,0.0014,1.213,4.982,78.0,11.004
-0.022,0.001,1.213,4.982,78.0,11.004
0.025,0.002,1.211,4.982,78.0,11.01
0.02,-0.0019,1.211,4.982,78.0,11.01
0.0,-0.0048,1.211,4.98,78.0,11.012
0.001,-0.0137,1.211,4.98,78.0,11.012
-0.01,-0.0077,1.211,4.982,78.0,11.02
-0.007,-0.0088,1.211,4.98,67.0,11.018
-0.375,0.0019,1.211,4.979,67.0,11.008
0.025,0.0022,1.211,4.979,67.0,10.998
0.036,-0.0003,1.211,4.979,67.0,11.0
0.006,0.0003,1.211,4.979,67.0,11.002
-0.037,-0.0178,1.211,4.979,67.0,11.004
0.014,-0.0177,1.211,4.979,85.0,11.008
0.015,-0.0144,1.211,4.979,85.0,11.014
0.008,0.0028,1.211,4.979,85.0,11.018
0.014,0.0025,1.209,4.977,85.0,11.014
0.009,-0.0062,1.211,4.977,85.0,11.018
-0.246,0.0013,1.211,4.978,85.0,11.026
-0.107,-0.0107,1.209,4.977,116.0,11.034
0.089,0.0021,1.208,4.977,116.0,11.046
0.094,0.0035,1.208,4.977,116.0,11.064
0.021,0.0022,1.208,4.977,116.0,11.086
0.058,-0.0078,1.208,4.977,116.0,11.114
0.066,-0.0058,1.208,4.977,116.0,11.148
0.056,-0.0136,1.208,4.977,116.0,11.19
0.053,-0.0132,1.208,4.977,116.0,11.242
0.033,-0.0126,1.208,4.977,116.0,11.296
0.056,-0.0062,1.208,4.977,116.0,11.342
-0.411,-0.0022,1.208,4.975,116.0,11.39
0.096,-0.0067,1.208,4.974,89.0,11.46
0.066,-0.0036,1.209,4.975,89.0,11.522
0.042,-0.0195,1.209,4.974,89.0,11.586
0.083,-0.0134,1.208,4.974,89.0,11.644
0.078,0.0047,1.209,4.974,89.0,11.708
0.068,-0.0055,1.208,4.974,89.0,11.764
0.074,0.0006,1.208,4.974,89.0,11.826
0.051,0.0044,1.208,4.974,89.0,11.876
0.092,0.0036,1.209,4.973,89.0,11.926
0.135,0.0018,1.208,4.973,85.0,11.974
0.14,-0.0056,1.208,4.972,85.0,12.016
0.095,-0.0039,1.208,4.972,85.0,12.048
0.089,-0.0168,1.208,4.973,85.0,12.08
0.123,-0.0071,1.208,4.972,85.0,12.11
0.122,-0.0049,1.208,4.972,85.0,12.138
0.114,-0.0102,1.208,4.972,85.0,12.162
0.113,0.0001,1.208,4.972,85.0,12.182
0.117,-0.0014,1.208,4.972,85.0,12.196
0.11,0.0004,1.208,4.972,85.0,12.212
0.109,-0.001,1.208,4.972,85.0,12.224
-0.247,0.0108,1.208,4.972,85.0,12.23
0.073,-0.0143,1.208,4.97,73.0,12.234
0.184,-0.0156,1.208,4.97,73.0,12.236
0.191,-0.0032,1.208,4.97,73.0,12.234
0.114,0.0013,1.208,4.969,73.0,12.224
0.116,-0.0205,1.208,4.969,73.0,12.206
0.123,-0.016,1.208,4.969,73.0,12.158
0.115,-0.0013,1.208,4.969,73.0,12.138
0.091,-0.0025,1.208,4.969,73.0,12.158
0.08,-0.0042,1.208,4.969,73.0,12.138
0.062,-0.0032,1.208,4.967,73.0,12.076
0.059,-0.0036,1.208,4.967,73.0,12.05
0.067,0.0007,1.208,4.967,73.0,12.02
-0.392,-0.0043,1.208,4.967,73.0,11.988
0.086,0.0005,1.208,4.967,67.0,11.952
0.125,0.0045,1.208,4.967,67.0,11.914
0.125,0.0045,1.208,4.967,67.0,11.866
0.046,-0.0094,1.208,4.967,67.0,11.822
0.05,-0.0139,1.208,4.967,67.0,11.774
0.049,0.0017,1.208,4.967,67.0,11.712
0.047,-0.0062,1.208,4.965,67.0,11.656
0.045,-0.0129,1.208,4.964,67.0,11.604
0.043,-0.0083,1.208,4.965,67.0,11.48
0.021,0.0008,1.208,4.964,67.0,11.452
0.021,0.0008,1.208,4.964,67.0,11.48
0.034,0.0026,1.208,4.964,67.0,11.452
0.082,-0.015,1.208,4.964,67.0,11.364
0.092,-0.0009,1.208,4.964,67.0,11.332
0.083,0.0045,1.208,4.963,67.0,11.298
0.011,-0.0073,1.208,4.964,67.0,11.274
0.039,-0.0128,1.208,4.964,86.0,11.25
0.04,-0.0013,1.208,4.964,86.0,11.23
0.027,-0.004,1.208,4.964,86.0,11.21
0.024,-0.0109,1.207,4.964,86.0,11.19
0.028,0.0065,1.206,4.964,86.0,11.178
0.024,0.0028,1.206,4.964,86.0,11.164
0.026,-0.0112,1.206,4.964,86.0,11.152
0.027,-0.0129,1.206,4.962,86.0,11.142
-0.064,-0.0003,1.206,4.962,86.0,11.124
0.093,-0.0007,1.206,4.962,86.0,11.098
0.086,-0.001,1.206,4.962,86.0,11.08
0.016,-0.0002,1.206,4.962,86.0,11.074
0.052,-0.0239,1.206,4.962,70.0,11.068
0.067,0.0024,1.206,4.962,70.0,11.062
0.067,0.0024,1.206,4.962,70.0,11.056
0.058,0.0006,1.206,4.96,70.0,11.052
0.062,0.0039,1.206,4.959,70.0,11.042
0.064,-0.0023,1.204,4.959,70.0,11.036
0.058,-0.0076,1.206,4.959,70.0,11.034
-0.144,0.0092,1.206,4.959,70.0,11.032
-0.099,-0.0176,1.206,4.959,70.0,11.026
0.14,-0.009,1.206,4.959,70.0,11.026
0.146,-0.0043,1.206,4.959,70.0,11.024
0.083,-0.0034,1.206,4.958,70.0,11.024
0.079,-0.0093,1.203,4.958,70.0,11.022
0.076,0.0023,1.203,4.958,70.0,11.018
0.069,-0.0077,1.203,4.958,70.0,11.014
0.07,-0.0097,1.204,4.957,70.0,11.012
0.064,-0.001,1.204,4.957,70.0,11.014
0.06,-0.0061,1.203,4.957,70.0,11.018
0.048,0.0037,1.203,4.957,70.0,11.022
0.081,0.0025,1.206,4.957,70.0,11.01
-0.388,-0.0009,1.204,4.957,70.0,11.0
0.116,-0.0105,1.203,4.955,70.0,10.992
0.122,-0.0048,1.203,4.957,70.0,10.992
0.094,-0.0003,1.203,4.957,70.0,10.992
0.034,-0.0197,1.203,4.954,70.0,10.992
0.048,-0.0166,1.203,4.954,70.0,10.996
0.042,-0.0089,1.203,4.954,70.0,10.996
0.024,0.0016,1.203,4.954,70.0,10.992
0.019,-0.013,1.203,4.954,70.0,10.992
0.021,-0.0047,1.203,4.954,70.0,10.992
0.02,0.0045,1.203,4.954,70.0,10.99
0.01,-0.0019,1.203,4.954,70.0,10.99
0.022,0.0049,1.203,4.953,70.0,10.99
-0.389,0.0043,1.203,4.952,70.0,10.996
0.055,-0.0058,1.203,4.952,70.0,11.0
0.059,-0.0025,1.203,4.952,70.0,11.01
0.029,-0.0049,1.203,4.952,70.0,11.014
-0.025,-0.0144,1.203,4.952,93.0,11.008
0.02,-0.0034,1.203,4.952,93.0,10.998
0.013,0.0031,1.203,4.952,93.0,10.996
0.008,-0.0005,1.203,4.952,93.0,11.0
0.008,-0.0015,1.203,4.952,93.0,11.01
-0.01,-0.0094,1.203,4.951,93.0,11.02
-0.01,-0.0094,1.203,4.951,93.0,11.008
0.012,-0.0048,1.203,4.95,93.0,10.996
0.061,-0.0076,1.203,4.95,93.0,10.992
0.01,-0.0074,1.203,4.95,93.0,10.998
0.022,-0.0208,1.203,4.95,79.0,11.0
0.058,-0.0092,1.203,4.948,79.0,11.0
0.056,0.0041,1.203,4.947,79.0,11.0
0.052,-0.0102,1.203,4.947,79.0,0.0
0.057,0.0,1.203,4.947,79.0,0.0
0.043,-0.0004,1.203,4.947,79.0,11.044
0.046,0.0038,1.203,4.947,79.0,11.058
-0.366,0.002,1.203,4.946,79.0,11.078
0.091,-0.0049,1.203,4.945,79.0,11.11
0.112,0.0025,1.203,4.945,79.0,11.146
0.108,0.0027,1.203,4.945,79.0,11.18
0.028,-0.0054,1.203,4.945,79.0,11.224
0.052,-0.0115,1.202,4.945,79.0,11.274
0.05,-0.003,1.203,4.945,79.0,11.328
0.042,-0.0131,1.203,4.945,79.0,11.38
0.035,-0.0079,1.203,4.945,79.0,11.438
0.041,-0.0071,1.202,4.945,79.0,11.486
0.022,-0.0025,1.202,4.943,79.0,11.53
-0.092,0.0017,1.202,4.943,79.0,11.572
-0.231,-0.0049,1.201,4.942,79.0,11.612
0.09,-0.014,1.201,4.942,79.0,11.664
0.093,-0.0015,1.201,4.942,79.0,11.712
0.038,-0.0113,1.201,4.941,106.0,11.752
0.04,-0.0149,1.201,4.94,106.0,11.788
0.027,-0.0055,1.201,4.94,106.0,11.814
0.02,-0.0002,1.201,4.94,106.0,11.842
0.015,-0.0096,1.201,4.94,106.0,11.874
0.007,-0.0027,1.201,4.938,106.0,11.976
0.001,-0.0094,1.201,4.94,106.0,12.004
-0.333,0.0016,1.201,4.938,106.0,12.028
0.067,-0.0053,1.201,4.938,106.0,12.042
0.062,0.0012,1.201,4.937,106.0,12.06
-0.002,0.0045,1.201,4.937,106.0,12.074
0.011,-0.0188,1.201,4.937,78.0,12.086
0.01,-0.0102,1.201,4.937,78.0,12.092
0.004,-0.0009,1.201,4.937,78.0,12.098
0.004,-0.0009,1.201,4.937,78.0,12.102
0.003,-0.0018,1.201,4.936,78.0,12.088
-0.007,0.0032,1.201,4.936,78.0,12.074
-0.322,-0.0106,1.201,4.935,78.0,12.062
0.051,-0.0057,1.201,4.935,78.0,12.048
0.039,-0.0023,1.201,4.935,78.0,12.03
-0.016,0.0032,1.201,4.935,78.0,12.008
0.001,-0.0109,1.199,4.935,82.0,11.986
0.035,-0.0093,1.201,4.935,82.0,11.964
0.034,-0.0173,1.201,4.935,82.0,11.948
0.032,-0.0117,1.201,4.932,82.0,11.932
0.026,0.0017,1.201,4.932,82.0,11.918
0.016,0.0059,1.201,4.932,82.0,11.896
-0.245,0.0081,1.201,4.932,82.0,11.872
-0.056,-0.0175,1.199,4.932,82.0,11.844
0.073,-0.0138,1.201,4.932,82.0,11.82
0.075,-0.0109,1.199,4.931,82.0,11.798
0.015,-0.0099,1.199,4.932,82.0,11.77
0.054,-0.0146,1.199,4.931,86.0,11.74
0.06,-0.0084,1.198,4.931,86.0,11.704
0.054,0.0064,1.198,4.93,86.0,11.664
0.052,0.0022,1.201,4.93,86.0,11.62
0.05,0.0026,1.199,4.93,86.0,11.578
-0.328,-0.0034,1.198,4.93,86.0,11.538
0.075,-0.0146,1.198,4.93,85.0,11.502
0.112,0.0036,1.198,4.93,85.0,11.468
0.116,0.0042,1.198,4.928,85.0,11.422
0.054,-0.0019,1.198,4.927,85.0,11.376
0.067,-0.0153,1.198,4.927,85.0,11.344
0.066,-0.0099,1.198,4.927,85.0,11.322
0.056,-0.0039,1.198,4.927,85.0,11.306
0.031,-0.0077,1.198,4.927,85.0,11.28
0.018,-0.0102,1.198,4.927,85.0,11.258
-0.349,0.0001,1.198,4.927,85.0,11.198
0.02,-0.0132,1.198,4.926,85.0,11.184
0.084,0.0039,1.198,4.925,85.0,11.166
0.09,0.0069,1.198,4.926,85.0,11.146
0.021,-0.0025,1.198,4.925,85.0,11.13
0.019,-0.0156,1.198,4.926,84.0,11.118
0.018,-0.0154,1.198,4.925,84.0,11.108
0.01,-0.0179,1.198,4.925,84.0,11.1
0.0,-0.006,1.198,4.925,84.0,11.092
0.004,0.0057,1.198,4.925,84.0,11.082
-0.048,0.0028,1.198,4.925,84.0,11.076
-0.338,-0.0056,1.198,4.923,84.0,11.07
0.052,-0.0027,1.198,4.922,84.0,11.068
0.053,0.004,1.198,4.922,84.0,11.066
0.005,0.0,1.198,4.922,84.0,11.048
-0.006,-0.0166,1.198,4.922,112.0,11.026
0.009,-0.0056,1.198,4.922,112.0,11.018
-0.001,-0.0022,1.198,4.922,112.0,11.018
-0.013,-0.0111,1.198,4.922,112.0,11.014
-0.013,-0.0007,1.198,4.922,112.0,11.014
-0.348,-0.0004,1.198,4.922,112.0,11.014
0.01,-0.0082,1.198,4.92,112.0,11.012
0.03,-0.0063,1.198,4.921,112.0,11.01
-0.04,-0.0079,1.198,4.92,112.0,11.01
-0.04,-0.0079,1.198,4.92,87.0,11.008
0.01,-0.0191,1.198,4.92,87.0,11.01
0.013,-0.0053,1.198,4.92,87.0,11.01
0.018,-0.0102,1.198,4.92,87.0,11.01
0.01,-0.0051,1.198,4.92,87.0,11.008
0.053,-0.0053,1.198,4.92,87.0,11.008
-0.362,-0.002,1.198,4.92,87.0,11.01
0.092,-0.0075,1.198,4.918,87.0,11.014
0.093,-0.0003,1.197,4.918,87.0,11.014
0.055,0.0116,1.198,4.918,87.0,11.02
0.024,-0.0086,1.197,4.917,87.0,11.022
0.048,-0.0141,1.197,4.917,87.0,11.014
0.049,-0.0024,1.196,4.917,87.0,11.01
0.048,-0.0135,1.196,4.917,87.0,11.01
0.048,-0.0079,1.196,4.917,87.0,11.018
0.031,-0.0127,1.196,4.917,87.0,11.022
-0.027,0.0014,1.196,4.915,87.0,11.026
-0.304,-0.0002,1.196,4.915,87.0,11.036
0.095,-0.0012,1.196,4.915,87.0,11.048
0.098,-0.0004,1.196,4.915,87.0,11.052
0.052,0.0013,1.196,4.915,87.0,11.062
0.033,-0.0144,1.196,4.915,87.0,11.074
0.043,-0.0009,1.196,4.915,87.0,11.086
0.032,-0.0099,1.196,4.913,87.0,11.1
0.016,-0.014,1.196,4.913,87.0,11.122
0.012,-0.0009,1.196,4.912,87.0,11.148
0.002,-0.0022,1.196,4.912,87.0,11.244
-0.175,0.0087,1.196,4.912,87.0,11.286
-0.185,-0.0121,1.196,4.912,87.0,11.244
0.073,-0.0065,1.196,4.912,87.0,11.286
0.067,-0.0029,1.196,4.912,87.0,11.402
0.015,-0.0084,1.196,4.912,87.0,11.442
0.018,-0.0154,1.196,4.911,96.0,11.496
0.005,-0.0057,1.194,4.911,96.0,11.556
-0.004,0.0039,1.196,4.912,96.0,11.612
-0.005,0.0038,1.196,4.91,96.0,11.664
-0.026,0.0051,1.196,4.91,96.0,11.72
-0.012,0.0076,1.196,4.91,96.0,11.774
-0.389,-0.0085,1.196,4.91,96.0,11.83
0.038,-0.0046,1.194,4.91,96.0,11.878
-0.015,-0.0099,1.193,4.91,95.0,11.928
0.006,0.0041,1.196,4.91,95.0,11.976
0.0,-0.0051,1.196,4.91,95.0,12.082
-0.002,-0.0129,1.193,4.907,95.0,12.106
-0.003,-0.0131,1.193,4.907,95.0,12.082
-0.003,-0.0131,1.193,4.907,95.0,12.106
-0.353,-0.0067,1.193,4.907,95.0,12.164
0.026,0.0032,1.193,4.907,95.0,12.176
-0.033,-0.0045,1.193,4.906,95.0,12.182
0.014,-0.017,1.194,4.907,87.0,12.176
0.023,-0.0039,1.193,4.905,87.0,12.162
0.016,-0.003,1.194,4.905,87.0,12.14
0.022,-0.0022,1.193,4.905,87.0,12.118
0.022,-0.0022,1.193,4.905,87.0,12.092
0.059,-0.0004,1.193,4.905,87.0,12.054
0.092,-0.0075,1.193,4.905,87.0,12.024
0.095,0.0023,1.193,4.905,87.0,11.994
0.056,0.0034,1.193,4.905,87.0,11.96
0.033,-0.0124,1.193,4.905,87.0,11.92
0.053,-0.0058,1.193,4.905,87.0,11.882
0.047,-0.0044,1.193,4.905,87.0,11.848
0.03,-0.0116,1.193,4.905,87.0,11.804
0.031,0.0007,1.193,4.905,87.0,11.764
0.011,0.0047,1.193,4.903,87.0,11.718
-0.369,-0.0101,1.193,4.902,87.0,11.678
0.078,-0.0005,1.193,4.902,88.0,11.638
0.081,-0.0031,1.193,4.902,88.0,11.596
0.042,0.0017,1.193,4.902,88.0,11.554
0.022,-0.0142,1.193,4.902,88.0,11.512
0.023,-0.0132,1.193,4.902,88.0,11.474
0.022,0.0038,1.193,4.902,88.0,11.434
0.01,-0.0025,1.193,4.902,88.0,11.39
0.002,-0.0089,1.193,4.902,88.0,11.334
-0.013,-0.0043,1.193,4.902,88.0,11.298
0.02,0.0048,1.193,4.902,67.0,11.268
-0.429,-0.0124,1.193,4.902,67.0,11.25
0.054,-0.0089,1.193,4.902,67.0,11.228
0.055,-0.0015,1.193,4.901,67.0,11.206
0.009,0.0044,1.193,4.901,67.0,11.188
-0.004,-0.0106,1.193,4.901,88.0,11.17
0.008,-0.0129,1.193,4.9,88.0,11.154
0.007,-0.0085,1.193,4.9,88.0,11.136
0.006,-0.0116,1.193,4.9,88.0,11.124
0.004,-0.0125,0.0,4.9,88.0,11.11
-0.009,0.0009,1.193,4.9,88.0,11.102
0.009,-0.0038,1.192,4.9,88.0,11.09
-0.369,-0.004,1.192,4.9,88.0,11.082
0.043,-0.0071,1.192,4.9,88.0,11.076
0.043,-0.008,1.192,4.9,88.0,11.068
0.008,0.0038,1.192,4.9,88.0,11.064
-0.01,-0.0156,1.191,4.9,104.0,11.058
0.042,-0.0114,1.191,4.9,104.0,11.054
0.042,-0.0004,1.191,4.898,104.0,11.054
0.057,0.0017,1.191,4.898,104.0,11.048
0.05,0.0004,1.191,4.9,104.0,11.032
0.042,0.0042,1.192,4.898,104.0,11.02
-0.291,-0.0063,1.191,4.897,104.0,11.014
0.115,0.0028,1.191,4.9,86.0,11.012
0.119,0.0062,1.191,4.9,86.0,11.004
0.065,0.0014,1.191,4.897,86.0,11.0
0.077,-0.0193,1.191,4.898,86.0,11.0
0.087,-0.0065,1.191,4.897,86.0,11.0
0.076,-0.0152,1.191,4.897,86.0,11.002
0.087,0.0011,1.191,4.897,86.0,11.004
0.065,-0.0107,1.191,4.897,86.0,11.004
0.101,-0.0024,1.191,4.897,86.0,11.004
-0.37,-0.0007,1.191,4.897,86.0,11.002
0.135,-0.0047,1.191,4.897,83.0,11.002
0.14,-0.0019,1.191,4.897,83.0,11.008
0.065,-0.0151,1.191,4.897,83.0,11.01
0.077,-0.0211,1.191,4.897,83.0,11.01
0.073,-0.0184,1.191,4.897,83.0,11.008
0.061,-0.0035,1.189,4.896,83.0,11.01
0.062,0.0061,1.191,4.897,83.0,11.01
0.044,0.0064,1.191,4.896,83.0,11.014
0.054,0.0057,1.191,4.896,83.0,11.02
-0.384,0.0013,1.191,4.895,83.0,11.012
0.085,-0.0154,1.191,4.895,83.0,11.012
0.052,0.0024,1.191,4.895,83.0,11.02
0.013,-0.0134,1.191,4.895,83.0,11.026
0.033,-0.0091,1.189,4.895,83.0,11.024
0.027,-0.014,1.189,4.895,83.0,11.02
0.023,-0.0061,1.189,4.895,83.0,11.022
0.027,0.0,1.189,4.895,83.0,11.024
0.012,-0.001,1.188,4.895,83.0,11.034
-0.364,0.0036,1.188,4.893,83.0,11.044
0.055,0.0034,1.188,4.893,83.0,11.054
0.05,0.0051,1.189,4.892,83.0,11.066
0.008,-0.0053,1.188,4.892,83.0,11.08
-0.012,-0.0165,1.189,4.892,93.0,11.098
0.032,-0.0194,1.188,4.892,93.0,11.12
0.029,-0.0162,1.188,4.892,93.0,11.144
0.025,-0.0005,1.188,4.892,93.0,11.17
0.026,0.0037,1.189,4.892,93.0,11.202
-0.163,0.005,1.188,4.892,93.0,11.242
-0.123,-0.0136,1.188,4.892,99.0,11.288
0.078,-0.0143,1.188,4.892,99.0,11.33
0.086,0.0028,1.188,4.892,99.0,11.372
0.03,0.0004,1.188,4.891,99.0,11.412
0.05,-0.0179,1.188,4.89,99.0,11.452
0.053,-0.0073,1.188,4.897,99.0,11.496
0.046,-0.0111,1.188,4.897,99.0,11.542
0.041,-0.017,1.188,4.897,99.0,11.588
0.041,0.0004,1.188,4.896,99.0,11.632
0.032,0.0064,1.188,4.895,99.0,11.67
-0.125,0.0121,1.188,4.895,99.0,11.708
-0.18,-0.013,1.188,4.895,84.0,11.744
0.11,-0.0081,1.188,4.895,84.0,11.786
0.105,-0.0049,1.188,4.895,84.0,11.828
0.047,-0.0071,1.188,4.895,84.0,11.866
0.038,-0.0182,1.188,4.895,84.0,11.904
0.037,-0.0058,1.188,4.895,84.0,11.938
0.033,-0.0033,1.188,4.895,84.0,11.966
0.029,-0.004,1.188,4.895,84.0,11.992
0.027,0.0036,1.188,4.895,84.0,12.016
0.007,0.0043,1.188,4.895,84.0,12.036
-0.051,0.003,1.188,4.893,84.0,12.052
-0.308,-0.008,1.188,4.893,84.0,12.062
0.07,-0.0017,1.188,4.893,84.0,12.068
0.072,0.0009,1.188,4.893,84.0,12.064
0.025,-0.0037,1.188,4.893,84.0,12.02
0.013,-0.0216,1.188,4.895,96.0,11.996
0.019,-0.0155,1.188,4.895,96.0,11.974
0.014,0.0008,1.188,4.895,96.0,11.954
0.005,0.002,1.188,4.892,96.0,11.926
0.003,0.0027,1.188,4.892,96.0,11.894
-0.008,-0.0044,1.188,4.893,96.0,11.86
0.003,0.0044,1.188,4.892,96.0,11.83
-0.386,0.0004,1.188,4.892,96.0,11.796
0.056,0.0037,1.188,4.892,96.0,11.762
0.034,-0.0008,1.188,4.892,96.0,11.722
-0.01,-0.0145,1.188,4.892,96.0,11.69
0.029,-0.0181,1.188,4.892,93.0,11.59
0.028,-0.0049,1.188,4.892,93.0,11.546
0.019,-0.0025,1.188,4.89,93.0,11.59
0.02,0.0007,1.188,4.891,93.0,11.546
0.004,-0.0136,1.188,4.89,93.0,11.422
-0.367,-0.0037,1.188,4.89,93.0,11.384
0.054,-0.0082,1.188,4.89,93.0,11.356
0.052,-0.0016,1.188,4.89,93.0,11.312
-0.001,-0.0039,1.187,4.89,93.0,11.258
-0.01,-0.0147,1.186,4.89,85.0,11.218
0.032,-0.0089,1.186,4.89,85.0,11.192
0.027,-0.0017,1.186,4.89,85.0,11.176
0.024,-0.0003,1.186,4.89,85.0,11.156
0.031,0.0006,1.186,4.887,85.0,11.142
0.023,-0.0037,1.186,4.888,85.0,11.136
0.049,-0.0009,1.186,4.887,85.0,11.134
0.094,-0.0068,1.186,4.887,85.0,11.132
0.061,0.0034,1.186,4.887,85.0,11.12
0.028,-0.0158,1.186,4.887,85.0,11.102
0.056,-0.0133,1.186,4.887,84.0,11.088
0.052,0.0031,1.186,4.887,84.0,11.08
0.043,0.0013,1.186,4.887,84.0,11.074
0.042,-0.0061,1.186,4.887,84.0,11.064
0.03,0.0037,1.186,4.887,84.0,11.054
0.03,0.0007,1.184,4.887,84.0,11.052
-0.38,-0.0061,1.186,4.887,84.0,11.054
0.065,-0.0143,1.186,4.887,84.0,11.054
0.078,0.0021,1.183,4.887,84.0,11.052
0.075,-0.0008,1.183,4.886,84.0,11.036
0.01,-0.014,1.186,4.885,84.0,11.02
0.036,-0.0167,1.186,4.886,82.0,11.002
0.032,0.0004,1.183,4.886,82.0,10.998
0.02,-0.0047,1.183,4.885,82.0,11.0
0.011,-0.0044,1.183,4.885,82.0,11.0
0.012,-0.0028,1.184,4.885,82.0,11.002
-0.005,-0.0115,1.183,4.885,82.0,11.004
0.003,-0.0025,1.184,4.885,82.0,11.002
